Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","5000","Monde","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","708443","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5611","Importations - Quantité","2511","Blé","2013","2013","Milliers de tonnes","185378","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5072","Variation de stock","2511","Blé","2013","2013","Milliers de tonnes","-15947","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5911","Exportations - Quantité","2511","Blé","2013","2013","Milliers de tonnes","198378","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","679495","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5521","Aliments pour animaux","2511","Blé","2013","2013","Milliers de tonnes","129669","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5527","Semences","2511","Blé","2013","2013","Milliers de tonnes","34283","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5123","Pertes","2511","Blé","2013","2013","Milliers de tonnes","27533","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5131","Traitement","2511","Blé","2013","2013","Milliers de tonnes","7875","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5154","Autres Utilisations","2511","Blé","2013","2013","Milliers de tonnes","22428","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","457823","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","65.43","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2511","Blé","2013","2013","Kcal/personne/jour","527","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2511","Blé","2013","2013","g/personne/jour","15.87","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2511","Blé","2013","2013","g/personne/jour","2.43","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","5511","Production","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","495447","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5611","Importations - Quantité","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","37620","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5072","Variation de stock","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","-15958","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5911","Exportations - Quantité","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","41450","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","475659","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5521","Aliments pour animaux","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","33596","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5527","Semences","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","12197","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5123","Pertes","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","27377","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5131","Traitement","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","6738","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5154","Autres Utilisations","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","18464","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","377287","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz (Eq Blanchi)","2013","2013","kg","53.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2805","Riz (Eq Blanchi)","2013","2013","Kcal/personne/jour","541","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2805","Riz (Eq Blanchi)","2013","2013","g/personne/jour","10.13","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2805","Riz (Eq Blanchi)","2013","2013","g/personne/jour","1.45","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","5511","Production","2513","Orge","2013","2013","Milliers de tonnes","142460","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5611","Importations - Quantité","2513","Orge","2013","2013","Milliers de tonnes","38687","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5072","Variation de stock","2513","Orge","2013","2013","Milliers de tonnes","876","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5911","Exportations - Quantité","2513","Orge","2013","2013","Milliers de tonnes","41587","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","140436","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5521","Aliments pour animaux","2513","Orge","2013","2013","Milliers de tonnes","92660","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5527","Semences","2513","Orge","2013","2013","Milliers de tonnes","8803","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5123","Pertes","2513","Orge","2013","2013","Milliers de tonnes","4624","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5131","Traitement","2513","Orge","2013","2013","Milliers de tonnes","26905","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5154","Autres Utilisations","2513","Orge","2013","2013","Milliers de tonnes","656","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","6794","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge","2013","2013","kg","0.97","Fc","Donnée calculée"
