country_code,year,country,population
2,2012,Afghanistan,29825
2,2013,Afghanistan,30552
202,2012,Afrique du Sud,52386
202,2013,Afrique du Sud,52776
3,2012,Albanie,3162
3,2013,Albanie,3173
4,2012,Algérie,38482
4,2013,Algérie,39208
79,2012,Allemagne,82800
79,2013,Allemagne,82727
7,2012,Angola,20821
7,2013,Angola,21472
8,2012,Antigua-et-Barbuda,89
8,2013,Antigua-et-Barbuda,90
194,2012,Arabie saoudite,28288
194,2013,Arabie saoudite,28829
9,2012,Argentine,41087
9,2013,Argentine,41446
1,2012,Arménie,2969
1,2013,Arménie,2977
10,2012,Australie,23050
10,2013,Australie,23343
11,2012,Autriche,8464
11,2013,Autriche,8495
52,2012,Azerbaïdjan,9309
52,2013,Azerbaïdjan,9413
12,2012,Bahamas,372
12,2013,Bahamas,377
16,2012,Bangladesh,154695
16,2013,Bangladesh,156595
14,2012,Barbade,283
14,2013,Barbade,285
57,2012,Bélarus,9405
57,2013,Bélarus,9357
255,2012,Belgique,11060
255,2013,Belgique,11104
23,2012,Belize,324
23,2013,Belize,332
53,2012,Bénin,10051
53,2013,Bénin,10323
17,2012,Bermudes,65
17,2013,Bermudes,65
19,2012,Bolivie (État plurinational de),10496
19,2013,Bolivie (État plurinational de),10671
80,2012,Bosnie-Herzégovine,3834
80,2013,Bosnie-Herzégovine,3829
20,2012,Botswana,2004
20,2013,Botswana,2021
21,2012,Brésil,198656
21,2013,Brésil,200362
26,2012,Brunéi Darussalam,412
26,2013,Brunéi Darussalam,418
27,2012,Bulgarie,7278
27,2013,Bulgarie,7223
233,2012,Burkina Faso,16460
233,2013,Burkina Faso,16935
35,2012,Cabo Verde,494
35,2013,Cabo Verde,499
115,2012,Cambodge,14865
115,2013,Cambodge,15135
32,2012,Cameroun,21700
32,2013,Cameroun,22254
33,2012,Canada,34838
33,2013,Canada,35182
40,2012,Chili,17465
40,2013,Chili,17620
96,2012,Chine - RAS de Hong-Kong,7148
96,2013,Chine - RAS de Hong-Kong,7204
128,2012,Chine - RAS de Macao,557
128,2013,Chine - RAS de Macao,566
41,2012,"Chine, continentale",1377065
41,2013,"Chine, continentale",1385567
214,2012,"Chine, Taiwan Province de",23272
214,2013,"Chine, Taiwan Province de",23330
50,2012,Chypre,1129
50,2013,Chypre,1141
44,2012,Colombie,47704
44,2013,Colombie,48321
46,2012,Congo,4337
46,2013,Congo,4448
48,2012,Costa Rica,4805
48,2013,Costa Rica,4872
107,2012,Côte d'Ivoire,19840
107,2013,Côte d'Ivoire,20316
98,2012,Croatie,4307
